,A,M,S,L_e,N_t,P_r,N_b,B_i,B_ii,Nu
0,0.0,0.0,0.1,0.2,0.1,1,0.1,10,10,1.1254024571450176
1,0.0,0.0,0.1,0.2,0.2,1,0.1,10,10,1.1957113467471272
2,0.0,0.0,0.1,0.2,0.3,1,0.1,10,10,1.2711097654241914
3,0.0,0.0,0.1,0.2,0.4,1,0.1,10,10,1.3520651786911408
4,0.0,0.0,0.1,0.4,0.1,1,0.1,10,10,1.125403253220292
5,0.0,0.0,0.1,0.4,0.2,1,0.1,10,10,1.1957133519849124
6,0.0,0.0,0.1,0.4,0.3,1,0.1,10,10,1.2711138983168633
7,0.0,0.0,0.1,0.4,0.4,1,0.1,10,10,1.3520726111489396
8,0.0,0.0,0.1,0.6,0.1,1,0.1,10,10,1.125404049024051
9,0.0,0.0,0.1,0.6,0.2,1,0.1,10,10,1.1957153565395306
10,0.0,0.0,0.1,0.6,0.3,1,0.1,10,10,1.271118029764695
11,0.0,0.0,0.1,0.6,0.4,1,0.1,10,10,1.3520800409630689
12,0.0,0.0,0.1,0.8,0.1,1,0.1,10,10,1.1254048445563485
13,0.0,0.0,0.1,0.8,0.2,1,0.1,10,10,1.195717360411201
14,0.0,0.0,0.1,0.8,0.3,1,0.1,10,10,1.2711221597682194
15,0.0,0.0,0.1,0.8,0.4,1,0.1,10,10,1.3520874681345654
16,0.0,0.0,0.2,0.2,0.1,1,0.1,10,10,1.1238270332035556
17,0.0,0.0,0.2,0.2,0.2,1,0.1,10,10,1.1940119495353618
18,0.0,0.0,0.2,0.2,0.3,1,0.1,10,10,1.26927396858071
19,0.0,0.0,0.2,0.2,0.4,1,0.1,10,10,1.3500789748581026
20,0.0,0.0,0.2,0.4,0.1,1,0.1,10,10,1.1238294784109797
21,0.0,0.0,0.2,0.4,0.2,1,0.1,10,10,1.1940168790208172
22,0.0,0.0,0.2,0.4,0.3,1,0.1,10,10,1.269283226877441
23,0.0,0.0,0.2,0.4,0.4,1,0.1,10,10,1.3500949154882902
24,0.0,0.0,0.2,0.6,0.1,1,0.1,10,10,1.123831921975211
25,0.0,0.0,0.2,0.6,0.2,1,0.1,10,10,1.1940218051845453
26,0.0,0.0,0.2,0.6,0.3,1,0.1,10,10,1.2692924787786797
27,0.0,0.0,0.2,0.6,0.4,1,0.1,10,10,1.3501108449093884
28,0.0,0.0,0.2,0.8,0.1,1,0.1,10,10,1.1238343638967196
29,0.0,0.0,0.2,0.8,0.2,1,0.1,10,10,1.1940267280282912
30,0.0,0.0,0.2,0.8,0.3,1,0.1,10,10,1.2693017242886404
31,0.0,0.0,0.2,0.8,0.4,1,0.1,10,10,1.3501267631295215
32,0.0,0.0,0.3,0.2,0.1,1,0.1,10,10,1.1224906155395062
33,0.0,0.0,0.3,0.2,0.2,1,0.1,10,10,1.1925649537480008
34,0.0,0.0,0.3,0.2,0.3,1,0.1,10,10,1.2677048820115426
35,0.0,0.0,0.3,0.2,0.4,1,0.1,10,10,1.3483747979209846
36,0.0,0.0,0.3,0.4,0.1,1,0.1,10,10,1.1224955961681389
37,0.0,0.0,0.3,0.4,0.2,1,0.1,10,10,1.1925737651800206
38,0.0,0.0,0.3,0.4,0.3,1,0.1,10,10,1.2677203035805849
39,0.0,0.0,0.3,0.4,0.4,1,0.1,10,10,1.3484003759816248
40,0.0,0.0,0.3,0.6,0.1,1,0.1,10,10,1.1225005718229677
41,0.0,0.0,0.3,0.6,0.2,1,0.1,10,10,1.1925825677976107
42,0.0,0.0,0.3,0.6,0.3,1,0.1,10,10,1.2677357093715391
43,0.0,0.0,0.3,0.6,0.4,1,0.1,10,10,1.3484259274125951
44,0.0,0.0,0.3,0.8,0.1,1,0.1,10,10,1.1225055425056338
45,0.0,0.0,0.3,0.8,0.2,1,0.1,10,10,1.1925913616065804
46,0.0,0.0,0.3,0.8,0.3,1,0.1,10,10,1.2677510993982781
47,0.0,0.0,0.3,0.8,0.4,1,0.1,10,10,1.3484514522404871
48,0.0,0.0,0.4,0.2,0.1,1,0.1,10,10,1.121402558255787
49,0.0,0.0,0.4,0.2,0.2,1,0.1,10,10,1.1913802252408177
50,0.0,0.0,0.4,0.2,0.3,1,0.1,10,10,1.2664129166944853
51,0.0,0.0,0.4,0.2,0.4,1,0.1,10,10,1.3469636406079937
52,0.0,0.0,0.4,0.4,0.1,1,0.1,10,10,1.1214109960565908
53,0.0,0.0,0.4,0.4,0.2,1,0.1,10,10,1.1913939175977477
54,0.0,0.0,0.4,0.4,0.3,1,0.1,10,10,1.266435587805168
55,0.0,0.0,0.4,0.4,0.4,1,0.1,10,10,1.3470000425164457
56,0.0,0.0,0.4,0.6,0.1,1,0.1,10,10,1.1214194227041725
57,0.0,0.0,0.4,0.6,0.2,1,0.1,10,10,1.1914075918754816
58,0.0,0.0,0.4,0.6,0.3,1,0.1,10,10,1.2664582283975303
59,0.0,0.0,0.4,0.6,0.4,1,0.1,10,10,1.347036394616248
60,0.0,0.0,0.4,0.8,0.1,1,0.1,10,10,1.121427838202346
61,0.0,0.0,0.4,0.8,0.2,1,0.1,10,10,1.191421248087229
62,0.0,0.0,0.4,0.8,0.3,1,0.1,10,10,1.2664808385030382
63,0.0,0.0,0.4,0.8,0.4,1,0.1,10,10,1.3470726969676148
64,0.0,0.0,0.5,0.2,0.1,1,0.1,10,10,1.1205725745918054
65,0.0,0.0,0.5,0.2,0.2,1,0.1,10,10,1.190468006740849
66,0.0,0.0,0.5,0.2,0.3,1,0.1,10,10,1.2654088793228089
67,0.0,0.0,0.5,0.2,0.4,1,0.1,10,10,1.345856911445767
68,0.0,0.0,0.5,0.4,0.1,1,0.1,10,10,1.1205854291606072
69,0.0,0.0,0.5,0.4,0.2,1,0.1,10,10,1.1904876230499537
70,0.0,0.0,0.5,0.4,0.3,1,0.1,10,10,1.2654399379021537
71,0.0,0.0,0.5,0.4,0.4,1,0.1,10,10,1.3459053846500204
72,0.0,0.0,0.5,0.6,0.1,1,0.1,10,10,1.1205982626267446
73,0.0,0.0,0.5,0.6,0.2,1,0.1,10,10,1.190507207307687
74,0.0,0.0,0.5,0.6,0.3,1,0.1,10,10,1.265470944944774
75,0.0,0.0,0.5,0.6,0.4,1,0.1,10,10,1.3459537762440608
